"location","hour03","hour09","hour15","hour21"
"강릉",25.5,26.2,29.3,26
"강진군",23.8,26.9,30.6,25.4
"강화",24.3,26,27.3,25.6
"거제",24.3,28.1,31.8,26.1
"거창",22.6,25.9,33.6,25.7
"경주시",24.1,31.2,34.9,27.3
"고산",24.5,27.4,28.1,25.3
"고창",25,28,30.3,26.5
"고창군",24.5,29.1,32.2,26
"고흥",23.2,27.8,30.7,24.2
"광양시",26,29,34.3,26.9
"광주",25.5,27.9,33.4,27.6
"구미",25.2,29,35,29
"군산",25.2,27.7,31.4,27
"금산",23.8,28.9,33.5,26.5
"김해시",25,29.8,32.6,27.4
"남원",22.8,26.5,33.2,27.9
"남해",24.2,27.3,32.5,25
"대관령",20.7,23.4,27.1,21
"대구",27.3,29.5,36.1,30.7
"대전",26.1,28.9,33.3,28.4
"동두천",24.1,23,29,26.4
"동해",25.1,26.4,27.8,26.1
"목포",25.7,27.8,29.9,27.1
"문경",23.1,28.2,33.8,25.3
"밀양",24.6,27,34.8,28.7
"백령도",23.5,23,25.2,24.1
"보령",25.8,27.2,28.9,26.6
"보성군",24.2,27.7,31.3,26.3
"보은",22.8,27.3,32.6,24.9
"봉화",21,27.7,32.4,24.4
"부산",25.3,28,29.8,25.6
"부안",25.2,29.1,32.5,26.5
"부여",25.2,27.4,31.9,26.5
"북강릉",24.2,26.2,27.2,24.9
"북창원",24.6,27.9,32.2,25.9
"산청",23.9,26.9,31,26.3
"상주",25.2,30.5,34.3,28.2
"서귀포",25.6,27.1,29.1,26.5
"서산",25.4,26.7,29.7,26.4
"서울",26.1,26.8,31.1,27.9
"성산",24.3,27.4,30.1,26.1
"속초",23.6,23.2,25.7,22.2
"수원",25.3,27.2,32.1,27.9
"순창군",23.8,26,32.8,27.4
"순천",24.3,26.1,31.8,24.4
"안동",25.8,28.9,34,24.2
"양산시",25.2,28.4,32.9,27.4
"양평",24.6,27.4,33.2,28.4
"여수",25.4,26.1,30.1,26.2
"영광군",25.4,27.5,32,27
"영덕",27.6,29.7,30,26.7
"영월",23.8,25.9,32.1,26.5
"영주",23.3,28.2,32.3,26.1
"영천",24.9,30.2,37.1,30.4
"완도",24.2,26,28.7,25.1
"울릉도",24.9,27.4,29.6,26.3
"울산",27.1,31,34.8,29.9
"울진",24.6,26.1,25.3,24.2
"원주",25.6,27.3,33.3,28.4
"의령군",22.5,25.4,32.5,24.4
"의성",23.2,30.2,36.6,28.6
"이천",23.6,26.8,32.6,27.8
"인제",22,22.6,30.4,23.3
"인천",25.7,25.8,28.4,26.2
"임실",22.6,26.8,31.5,26.4
"장수",20.5,28.4,30.8,23.6
"장흥",23.4,28.4,29.2,25.9
"전주",25.8,28.9,32.7,27.4
"정선군",23.2,27.6,32.3,25.1
"정읍",25.1,29.5,33.8,27.5
"제주",26.8,28.6,29.9,26.8
"제천",22.8,26.4,32,24.6
"진도(첨찰산)",22.1,23,26.1,22.8
"진도군",25.4,27.8,29.6,26.5
"진주",23.3,26.3,31.5,26.3
"창원",23.5,25.4,32.3,25.5
"천안",24.2,27.8,31.9,27.2
"철원",23.4,22.9,25.6,24.9
"청송군",22.5,28.9,36.4,26.1
"청주",26,28.7,33,28.6
"추풍령",23.4,28.9,33.6,25.5
"춘천",23.8,23.6,32,26.2
"충주",24.4,28,32.9,27
"태백",21,27.1,31,23.7
"통영",24.4,25.2,29.5,25.4
"파주",23.6,22.8,28.4,25.6
"포항",28.9,27.1,34.3,31.7
"함양군",23.1,28.6,35.1,25.5
"합천",24.5,26.2,33.8,27.9
"해남",24.4,27.4,29.5,26.2
"홍천",24.6,26.6,32.7,25.6
"흑산도",23.4,23.3,25.9,22.9
